epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,is_best
1,1.2835933634297765,1.0631865931279731,0.3939393939393939,0.2686868686868687,0.24743443557582667,0.5934654525977504,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.3125,0.8333333333333334,0.45454545454545453,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,True
2,0.8669174271436473,1.3153199493659264,0.48484848484848486,0.4347319347319347,0.3653846153846154,0.6424702058504875,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,9,0.42857142857142855,0.6,0.5,5,0.42857142857142855,0.5,0.46153846153846156,6,0.6,0.5,0.5454545454545454,6,False
3,0.5560918208675005,1.750064058703455,0.5151515151515151,0.46499999999999997,0.4040632054176072,0.5898305084745763,0.5384615384615384,1.0,0.7,7,0.0,0.0,0.0,9,0.45454545454545453,1.0,0.625,5,0.75,0.5,0.6,6,0.5,0.3333333333333333,0.4,6,False
4,0.3448841796214901,1.6484764164934556,0.3333333333333333,0.2770712603529941,0.16838487972508587,0.5051903114186851,0.5,0.7142857142857143,0.5882352941176471,7,0.25,0.1111111111111111,0.15384615384615385,9,0.25,0.2,0.2222222222222222,5,0.3076923076923077,0.6666666666666666,0.42105263157894735,6,0.0,0.0,0.0,6,False
5,0.3619145049625517,1.7476108863216007,0.42424242424242425,0.4262854792266557,0.2834285714285715,0.5966666666666667,0.4,0.5714285714285714,0.47058823529411764,7,0.25,0.1111111111111111,0.15384615384615385,9,0.5,0.6,0.5454545454545454,5,0.42857142857142855,0.5,0.46153846153846156,6,0.5,0.5,0.5,6,False
6,0.26896266202623054,2.352891843243869,0.48484848484848486,0.47435701553348614,0.36322360953461974,0.625,0.5,0.7142857142857143,0.5882352941176471,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.4444444444444444,0.8,0.5714285714285714,5,0.5,0.5,0.5,6,0.6,0.5,0.5454545454545454,6,False
7,0.24090771202915418,2.3190005255729016,0.5151515151515151,0.5054834054834055,0.4,0.6459627329192547,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.5555555555555556,1.0,0.7142857142857143,5,0.6,0.5,0.5454545454545454,6,0.6,0.5,0.5454545454545454,6,False
8,0.16525446834478213,2.0730490624199085,0.42424242424242425,0.397979797979798,0.2834285714285715,0.6002202643171806,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.25,0.2,0.2222222222222222,5,0.4,0.6666666666666666,0.5,6,0.6,0.5,0.5454545454545454,6,False
9,0.16207078406981085,2.5221679099059355,0.42424242424242425,0.4244755244755245,0.2858769931662871,0.5851428571428572,0.4444444444444444,0.5714285714285714,0.5,7,0.25,0.1111111111111111,0.15384615384615385,9,0.375,0.6,0.46153846153846156,5,0.42857142857142855,0.5,0.46153846153846156,6,0.6,0.5,0.5454545454545454,6,False
10,0.13773022326258524,2.6284666956987306,0.45454545454545453,0.4424242424242424,0.3211428571428572,0.6002202643171806,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.5,0.4,0.4444444444444444,5,0.4,0.6666666666666666,0.5,6,0.6,0.5,0.5454545454545454,6,False
11,0.07192682595703455,2.843245768040832,0.42424242424242425,0.4045670995670996,0.2834285714285715,0.5629139072847682,0.5555555555555556,0.7142857142857143,0.625,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.5,0.2,0.2857142857142857,5,0.2857142857142857,0.6666666666666666,0.4,6,0.6,0.5,0.5454545454545454,6,False
12,0.0734076409914591,3.4527300280397233,0.48484848484848486,0.4488402825244931,0.36466591166477913,0.6365638766519823,0.5833333333333334,1.0,0.7368421052631579,7,1.0,0.1111111111111111,0.2,9,0.2857142857142857,0.4,0.3333333333333333,5,0.375,0.5,0.42857142857142855,6,0.6,0.5,0.5454545454545454,6,False
13,0.08979072338789679,3.2360061650349605,0.5454545454545454,0.510745044429255,0.4394110985277463,0.6729074889867841,0.5833333333333334,1.0,0.7368421052631579,7,1.0,0.1111111111111111,0.2,9,0.42857142857142855,0.6,0.5,5,0.5,0.6666666666666666,0.5714285714285714,6,0.6,0.5,0.5454545454545454,6,False
14,0.054279466478357644,2.913979216862563,0.5151515151515151,0.4873440285204991,0.4040632054176072,0.6377816291161178,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,0.5,0.1111111111111111,0.18181818181818182,9,0.4166666666666667,1.0,0.5882352941176471,5,0.5,0.3333333333333333,0.4,6,0.75,0.5,0.6,6,False
15,0.05032773595188185,2.8252147323865233,0.42424242424242425,0.4252813852813853,0.2834285714285715,0.5827586206896551,0.5,0.5714285714285714,0.5333333333333333,7,0.4,0.2222222222222222,0.2857142857142857,9,0.2857142857142857,0.4,0.3333333333333333,5,0.375,0.5,0.42857142857142855,6,0.6,0.5,0.5454545454545454,6,False
16,0.06133383115560157,2.4675683995263444,0.48484848484848486,0.4827172827172827,0.3617747440273038,0.6254256526674233,0.4444444444444444,0.5714285714285714,0.5,7,0.25,0.1111111111111111,0.15384615384615385,9,0.5555555555555556,1.0,0.7142857142857143,5,0.6,0.5,0.5454545454545454,6,0.5,0.5,0.5,6,False
17,0.04484857530300161,3.211810923429474,0.45454545454545453,0.44020202020202015,0.32191780821917815,0.6164914222468179,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.4,0.4,0.4,5,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.6,0.5,0.5454545454545454,6,False
18,0.03795321083528131,2.938999844467352,0.45454545454545453,0.4561172161172161,0.3211428571428572,0.606473594548552,0.5,0.5714285714285714,0.5333333333333333,7,0.4,0.2222222222222222,0.2857142857142857,9,0.42857142857142855,0.6,0.5,5,0.42857142857142855,0.5,0.46153846153846156,6,0.5,0.5,0.5,6,False
19,0.04340160613807951,3.4562499988403297,0.48484848484848486,0.43512265512265513,0.36031927023945265,0.6474358974358974,0.5384615384615384,1.0,0.7,7,1.0,0.1111111111111111,0.2,9,0.5,0.2,0.2857142857142857,5,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,0.6,0.5,0.5454545454545454,6,False
20,0.026059871694732877,2.5906129843140318,0.42424242424242425,0.4026646556058321,0.2866894197952218,0.5884353741496599,0.4,0.5714285714285714,0.47058823529411764,7,0.25,0.1111111111111111,0.15384615384615385,9,0.5,1.0,0.6666666666666666,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.5,0.5,0.5,6,False
21,0.01621118045240838,2.9125725782550447,0.48484848484848486,0.4581818181818182,0.3653846153846153,0.6271186440677966,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,0.5,0.1111111111111111,0.18181818181818182,9,0.4,0.8,0.5333333333333333,5,0.4,0.3333333333333333,0.36363636363636365,6,0.6,0.5,0.5454545454545454,6,False
22,0.05179128700272495,3.643056798934986,0.5151515151515151,0.43807692307692303,0.40607424071990994,0.6594242259641498,0.5384615384615384,1.0,0.7,7,0.0,0.0,0.0,9,0.45454545454545453,1.0,0.625,5,0.5,0.16666666666666666,0.25,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,False
23,0.03060370024689074,3.445238402894492,0.42424242424242425,0.42809588072745963,0.2793103448275862,0.6028084252758275,0.36363636363636365,0.5714285714285714,0.4444444444444444,7,0.25,0.1111111111111111,0.15384615384615385,9,1.0,0.4,0.5714285714285714,5,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.38461538461538464,0.8333333333333334,0.5263157894736842,6,False
24,0.028432541073778166,3.1786990407560634,0.5757575757575758,0.5414593301435406,0.4755959137343927,0.7106756059824653,0.5833333333333334,1.0,0.7368421052631579,7,1.0,0.1111111111111111,0.2,9,0.6,0.6,0.6,5,0.6,0.5,0.5454545454545454,6,0.5,0.8333333333333334,0.625,6,False
25,0.03496037451240435,3.4814183077481036,0.5151515151515151,0.4757575757575757,0.3999999999999999,0.624390243902439,0.5384615384615384,1.0,0.7,7,1.0,0.1111111111111111,0.2,9,0.4,0.4,0.4,5,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.6,0.5,0.5454545454545454,6,False
26,0.03470197650131047,3.510241029163257,0.45454545454545453,0.4484737484737485,0.31802525832376594,0.648936170212766,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.25,0.1111111111111111,0.15384615384615385,9,0.6666666666666666,0.4,0.5,5,0.42857142857142855,0.5,0.46153846153846156,6,0.5,0.6666666666666666,0.5714285714285714,6,False
27,0.0212730755675657,2.8841859094723445,0.42424242424242425,0.3887301587301587,0.270081490104773,0.5982608695652174,0.5,0.14285714285714285,0.2222222222222222,7,0.45454545454545453,0.5555555555555556,0.5,9,0.3333333333333333,0.2,0.25,5,0.3333333333333333,0.5,0.4,6,0.5,0.6666666666666666,0.5714285714285714,6,False
28,0.023313744124829578,2.846471181532759,0.42424242424242425,0.40488687782805427,0.2793103448275862,0.6194968553459119,0.4,0.5714285714285714,0.47058823529411764,7,0.25,0.1111111111111111,0.15384615384615385,9,1.0,0.2,0.3333333333333333,5,0.3333333333333333,0.5,0.4,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,6,False
29,0.034194413887536454,2.9315910438974706,0.42424242424242425,0.43154061624649864,0.2751445086705202,0.5925925925925926,0.4,0.2857142857142857,0.3333333333333333,7,0.375,0.3333333333333333,0.35294117647058826,9,0.6666666666666666,0.4,0.5,5,0.3333333333333333,0.5,0.4,6,0.5,0.6666666666666666,0.5714285714285714,6,False
30,0.0869191264008935,3.8644496213878967,0.45454545454545453,0.37333333333333335,0.32499999999999996,0.5316934720908231,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,1.0,0.1111111111111111,0.2,9,0.6666666666666666,0.4,0.5,5,0.0,0.0,0.0,6,0.3333333333333333,1.0,0.5,6,False
31,0.03337367577642157,3.527381892445776,0.48484848484848486,0.44634278002699046,0.3653846153846154,0.6389496717724288,0.5833333333333334,1.0,0.7368421052631579,7,1.0,0.1111111111111111,0.2,9,0.375,0.6,0.46153846153846156,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.5,0.5,0.5,6,False
32,0.0565213147076651,4.023262376754883,0.45454545454545453,0.42333333333333334,0.3203661327231121,0.5549792531120332,0.4117647058823529,1.0,0.5833333333333334,7,1.0,0.1111111111111111,0.2,9,0.6666666666666666,0.4,0.5,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.5,0.5,0.5,6,False
33,0.017843165526256467,5.065951819379997,0.36363636363636365,0.27,0.20799999999999996,0.4933469805527124,0.4117647058823529,1.0,0.5833333333333334,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.5,0.5,0.5,6,False
34,0.029540185628093213,3.220946225826981,0.42424242424242425,0.4130952380952381,0.27764976958525345,0.6113490364025695,0.4444444444444444,0.5714285714285714,0.5,7,0.4,0.2222222222222222,0.2857142857142857,9,1.0,0.2,0.3333333333333333,5,0.3,0.5,0.375,6,0.5,0.6666666666666666,0.5714285714285714,6,False
35,0.01668233114046171,3.353648105885628,0.5151515151515151,0.5003929403929404,0.3958810068649885,0.6883525708289613,0.46153846153846156,0.8571428571428571,0.6,7,0.5,0.1111111111111111,0.18181818181818182,9,1.0,0.4,0.5714285714285714,5,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,False
36,0.021503828901823435,3.7079732661126674,0.42424242424242425,0.3833333333333333,0.2875,0.5285714285714285,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,1.0,0.1111111111111111,0.2,9,0.3333333333333333,0.2,0.25,5,0.2857142857142857,0.6666666666666666,0.4,6,0.5,0.3333333333333333,0.4,6,False
37,0.0315133169782013,3.6658265410133635,0.42424242424242425,0.3746233230134159,0.2939189189189191,0.5362997658079625,0.5833333333333334,1.0,0.7368421052631579,7,1.0,0.1111111111111111,0.2,9,0.25,0.6,0.35294117647058826,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.5,0.16666666666666666,0.25,6,False
38,0.007338863469323037,3.69906930572871,0.42424242424242425,0.38658341658341655,0.2834285714285715,0.5998945703742752,0.46153846153846156,0.8571428571428571,0.6,7,0.5,0.1111111111111111,0.18181818181818182,9,0.3333333333333333,0.2,0.25,5,0.25,0.3333333333333333,0.2857142857142857,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,False
39,0.04274571246708528,3.432111296393051,0.45454545454545453,0.43001443001443,0.3234624145785878,0.6327503974562798,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,0.5,0.1111111111111111,0.18181818181818182,9,0.5,0.4,0.4444444444444444,5,0.25,0.3333333333333333,0.2857142857142857,6,0.5,0.6666666666666666,0.5714285714285714,6,False
40,0.016569438529590974,5.638114238125898,0.42424242424242425,0.3495238095238095,0.2850627137970353,0.5632609846479619,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,1.0,0.1111111111111111,0.2,9,0.0,0.0,0.0,5,0.26666666666666666,0.6666666666666666,0.38095238095238093,6,0.5,0.5,0.5,6,False
